Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverallSatisfaction,Income,PromotionRatio
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,Female,2,Sales Executive,Single,8,Yes,11,3,0,8,0,6,4,0,5,2.2,Medium,0.0
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,Male,2,Research Scientist,Married,1,No,23,4,1,10,3,10,7,1,7,2.8,Medium,0.1
37,Yes,Travel_Rarely,Research & Development,2,2,Other,Male,1,Laboratory Technician,Single,6,Yes,15,3,0,7,3,0,0,0,0,2.8,Low,0.0
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,Female,1,Research Scientist,Married,1,Yes,11,3,0,8,3,8,7,3,0,3.2,Low,0.375
27,No,Travel_Rarely,Research & Development,2,1,Medical,Male,1,Laboratory Technician,Married,9,No,12,3,1,6,3,2,2,2,2,2.6,Low,1.0
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,1,Laboratory Technician,Single,0,No,13,3,0,8,2,7,7,3,6,3.2,Low,0.42857142857142855
59,No,Travel_Rarely,Research & Development,3,3,Medical,Female,1,Laboratory Technician,Married,4,Yes,20,4,3,12,3,1,0,0,0,2.2,Low,0.0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,Male,1,Laboratory Technician,Divorced,1,No,22,4,1,1,2,1,0,0,0,3.0,Low,0.0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,3,Manufacturing Director,Single,0,No,21,4,0,10,2,9,7,1,8,2.8,High,0.1111111111111111
36,No,Travel_Rarely,Research & Development,27,3,Medical,Male,2,Healthcare Representative,Married,6,No,13,3,2,17,3,7,7,7,7,2.6,Medium,1.0
35,No,Travel_Rarely,Research & Development,16,3,Medical,Male,1,Laboratory Technician,Married,0,No,13,3,1,6,5,5,4,0,3,2.6,Low,0.0
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,Female,2,Laboratory Technician,Single,0,Yes,12,3,0,10,3,9,5,0,8,3.2,Medium,0.0
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,Male,1,Research Scientist,Divorced,1,No,17,3,1,5,1,5,2,4,3,2.6,Low,0.8
34,No,Travel_Rarely,Research & Development,19,2,Medical,Male,1,Laboratory Technician,Divorced,0,No,11,3,1,3,2,2,2,1,2,3.0,Low,0.5
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,1,Laboratory Technician,Single,5,Yes,14,3,0,6,4,4,2,0,3,2.6,Low,0.0
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,3,Manufacturing Director,Divorced,1,No,11,3,1,10,1,10,9,8,8,2.6,High,0.8
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,1,Research Scientist,Divorced,0,Yes,12,3,2,7,5,6,2,0,5,2.6,Low,0.0
22,No,Non-Travel,Research & Development,16,2,Medical,Male,1,Laboratory Technician,Divorced,1,Yes,13,3,2,1,2,1,0,0,0,3.2,Low,0.0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,Female,4,Manager,Married,2,No,16,3,0,31,3,25,8,3,7,2.6,High,0.12
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Research Scientist,Single,5,Yes,11,3,0,6,3,3,2,1,2,3.4,Medium,0.3333333333333333
24,No,Non-Travel,Research & Development,11,2,Other,Female,2,Manufacturing Director,Divorced,0,No,18,3,1,5,5,4,2,1,3,2.8,Medium,0.25
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,Male,1,Sales Representative,Single,7,No,23,4,0,10,4,5,3,0,3,2.2,Low,0.0
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,Female,3,Research Director,Single,0,No,11,3,0,13,4,12,6,2,11,2.4,High,0.16666666666666666
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,1,Research Scientist,Single,1,No,14,3,0,0,6,0,0,0,0,3.4,Low,0.0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,Male,1,Research Scientist,Single,2,No,11,3,0,8,2,4,2,1,3,2.4,Low,0.25
53,No,Travel_Rarely,Research & Development,5,3,Other,Female,5,Manager,Divorced,4,No,11,3,1,26,3,14,13,4,8,3.0,High,0.2857142857142857
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,Female,1,Research Scientist,Single,1,Yes,22,4,0,10,5,10,2,6,7,1.8,Medium,0.6
42,No,Travel_Rarely,Sales,8,4,Marketing,Male,2,Sales Executive,Married,0,No,11,3,1,10,2,9,7,4,2,3.0,High,0.4444444444444444
44,No,Travel_Rarely,Research & Development,7,4,Medical,Female,3,Healthcare Representative,Married,3,No,14,3,1,24,4,22,6,5,17,2.8,High,0.22727272727272727
46,No,Travel_Rarely,Sales,2,4,Marketing,Female,5,Manager,Single,3,No,12,3,0,22,2,2,2,2,1,2.4,High,1.0
33,No,Travel_Rarely,Research & Development,2,3,Medical,Male,1,Laboratory Technician,Single,4,No,11,3,0,7,3,1,1,0,0,3.4,Low,0.0
44,No,Travel_Rarely,Research & Development,10,4,Other,Male,2,Healthcare Representative,Married,2,Yes,13,3,0,9,5,4,2,1,3,3.8,Medium,0.25
30,No,Travel_Rarely,Research & Development,9,2,Medical,Male,1,Laboratory Technician,Single,1,No,13,3,0,10,5,10,0,1,8,2.6,Low,0.1
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,Male,2,Sales Representative,Married,3,No,14,3,1,19,6,1,0,0,0,3.6,Low,0.0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Scientist,Married,2,Yes,16,3,1,6,2,2,0,2,0,2.4,Low,1.0
43,No,Travel_Rarely,Research & Development,2,2,Medical,Female,1,Research Scientist,Divorced,1,No,12,3,2,6,3,5,3,1,4,3.4,Low,0.2
50,Yes,Travel_Rarely,Sales,3,2,Marketing,Male,1,Sales Representative,Married,1,Yes,14,3,0,3,2,3,2,0,2,2.4,Low,0.0
35,No,Travel_Rarely,Sales,2,3,Marketing,Female,1,Sales Representative,Married,1,No,13,3,0,2,3,2,2,2,2,3.0,Low,1.0
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,1,Research Scientist,Married,9,Yes,14,3,1,6,3,1,1,0,0,2.6,Low,0.0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,Female,2,Sales Executive,Married,2,No,19,3,2,10,3,5,3,1,3,2.4,Medium,0.2
35,No,Travel_Rarely,Research & Development,4,2,Other,Male,1,Laboratory Technician,Divorced,1,No,12,3,1,1,3,1,0,0,0,3.2,Low,0.0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,1,Laboratory Technician,Divorced,1,No,13,3,1,1,6,1,0,0,0,3.0,Low,0.0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,Male,1,Laboratory Technician,Single,1,No,12,3,0,1,2,1,0,0,1,2.0,Low,0.0
27,No,Travel_Frequently,Sales,8,3,Life Sciences,Male,3,Sales Executive,Single,1,No,15,3,0,9,0,9,8,1,7,3.4,High,0.1111111111111111
30,No,Travel_Frequently,Research & Development,1,2,Medical,Female,2,Laboratory Technician,Single,1,No,23,4,0,12,2,12,8,3,7,3.4,Medium,0.25
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,Female,5,Research Director,Married,1,No,12,3,0,23,0,22,15,15,8,3.0,High,0.6818181818181818
34,No,Non-Travel,Sales,23,4,Marketing,Male,2,Sales Executive,Single,0,No,20,4,0,10,2,9,5,8,7,2.8,Medium,0.8888888888888888
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,Male,1,Research Scientist,Married,4,No,21,4,0,8,1,1,0,0,0,2.2,Low,0.0
