Feature,Importance
Age,0.07975081433756004
OverallSatisfaction,0.07752739001460639
TotalWorkingYears,0.06631519247214188
DistanceFromHome,0.05611946954786348
YearsAtCompany,0.05516578212030799
PercentSalaryHike,0.04493807811723538
YearsWithCurrManager,0.04273963972437683
NumCompaniesWorked,0.04233683329155632
PromotionRatio,0.03737540569166955
YearsInCurrentRole,0.03506992231580628
TrainingTimesLastYear,0.034563526370969315
StockOptionLevel,0.03242170053647102
OverTime_No,0.029967872673917244
OverTime_Yes,0.02857224797562887
Education,0.028306374215737392
JobLevel,0.027042897227153275
YearsSinceLastPromotion,0.026556790987778845
MaritalStatus_Single,0.01902221490671063
BusinessTravel_Travel_Frequently,0.01781470058042824
MaritalStatus_Married,0.013280872676833338
Income_Low,0.012742200874678958
Gender_Female,0.012660949994403573
EducationField_Life Sciences,0.012482957652433381
EducationField_Medical,0.01244770621504424
JobRole_Research Scientist,0.01239335166098173
JobRole_Laboratory Technician,0.01165443415408441
EducationField_Technical Degree,0.01075588137918658
Department_Research & Development,0.010134696470811416
Gender_Male,0.010087567005247919
MaritalStatus_Divorced,0.009153045642410665
Department_Sales,0.009020084330338343
Income_Medium,0.008887093184677078
JobRole_Sales Executive,0.008835965374670822
BusinessTravel_Travel_Rarely,0.00882200324020297
JobRole_Sales Representative,0.00808429351384244
Income_High,0.006794377910355113
PerformanceRating,0.006686168522099564
EducationField_Marketing,0.006563059259725876
BusinessTravel_Non-Travel,0.004850756111445613
JobRole_Manufacturing Director,0.003627569032001816
EducationField_Other,0.0033745081478637833
JobRole_Healthcare Representative,0.003188851500392744
EducationField_Human Resources,0.0030356824693386106
JobRole_Manager,0.003025735246828387
JobRole_Human Resources,0.0029228439425077477
Department_Human Resources,0.001986260614292543
JobRole_Research Director,0.0008942307653815027
